Ranking,Year,Teams,Points,Goals+,Goals-,avg age,avg heights (cm),avg weight (kg),avg player rating,avg player value (EU),avg player wage,Transfer Spend (Euros),MA
19,2017,UD Las Palmas,22,15,38,25.38,178.62,72.47,72.0,4261875,7844,0.315,2.9
20,2017,Málaga CF,20,14,27,24.69,180.9,73.38,72.55,5250517,8069,9.45,9.51
1,2016,Real Madrid,93,48,20,23.81,181.42,75.03,77.13,19692741,106581,27.0,72.3
2,2016,FC Barcelona,90,64,17,24.97,179.1,74.1,78.59,20170689,120724,112.28,102.74
3,2016,Atlético Madrid,78,40,14,24.88,181.48,74.16,76.92,12458000,82960,71.1,109.67
4,2016,Sevilla FC,72,39,16,25.47,181.16,76.06,74.66,8131875,60281,73.52999999999999,44.0
5,2016,Villarreal CF,67,35,18,24.21,181.32,74.5,74.25,7024107,40500,50.36,36.56
6,2016,Real Sociedad,64,30,24,24.69,182.22,75.56,72.38,5696093,49125,16.2,16.53
7,2016,Athletic Club Bilbao,63,36,18,26.2,182.0,76.84,76.12,8057000,63280,0.0,2.7
8,2016,RCD Espanyol,56,28,24,24.07,181.62,75.52,70.86,2964655,28655,16.560000000000002,7.13
9,2016,Deportivo Alavés,55,19,21,26.95,180.64,73.59,66.14,658863,3818,5.695000000000001,0.0
10,2016,SD Eibar,54,29,21,24.67,180.85,74.56,69.11,2375925,10963,7.7399999999999975,3.74
11,2016,Málaga CF,46,32,25,25.39,179.9,73.26,71.48,3612580,31323,11.282,6.81
12,2016,Valencia CF,46,32,32,23.19,179.32,74.55,74.39,9423064,58290,32.4,69.96
13,2016,RC Celta Vigo,45,30,32,23.06,179.55,74.03,70.77,4229354,30742,7.56,8.55
14,2016,Real Betis,39,22,24,25.72,181.59,75.78,71.44,2664687,29250,18.81,0.0
15,2016,UD Las Palmas,39,33,25,27.1,180.31,73.9,70.24,1895172,22759,2.6100000000000003,0.0
16,2016,RCD La Coruña,36,27,23,26.79,180.29,74.57,72.21,3210714,31643,6.3,4.92
17,2016,CD Leganés,35,22,23,24.88,179.5,73.73,65.54,877692,1692,4.905,0.0
18,2016,Sporting Gijón,31,26,38,23.81,180.52,73.74,70.37,2653518,23259,0.8999999999999999,0.0
19,2016,CA Osasuna,22,23,39,23.64,180.71,73.57,65.0,716964,7857,1.98,0.0
20,2016,Granada CF,20,17,32,24.07,181.53,76.57,70.73,2601333,26700,10.415,0.0
1,2015,FC Barcelona,91,67,14,25.54,178.12,71.92,79.75,0,0,45.90000000000001,95.68
2,2015,Real Madrid,90,70,16,23.79,181.73,75.82,75.21,0,0,76.50000000000001,115.95
3,2015,Atlético Madrid,88,33,7,24.69,181.28,75.1,74.45,0,0,129.25000000000003,96.77
4,2015,Villarreal CF,64,26,12,23.85,179.36,74.06,70.88,0,0,42.48,24.57
5,2015,Athletic Club Bilbao,62,35,17,24.39,181.06,75.27,70.88,0,0,7.2,7.32
6,2015,RC Celta Vigo,60,29,25,23.43,179.43,74.17,68.1,0,0,14.670000000000002,7.53
7,2015,Sevilla FC,52,38,21,24.09,179.7,74.33,71.58,0,0,39.6,30.62
8,2015,Málaga CF,48,26,15,25.0,179.12,72.47,70.5,0,0,7.785,4.62
9,2015,Real Sociedad,48,22,20,24.48,181.68,75.26,70.29,0,0,22.59,13.08
